Ligand,Binding Energy
ZINC000005242230_uff_E=609.43,-8.2
ZINC000006760910_uff_E=399.36,-8.2
ZINC000100486561_uff_E=486.75,-8.2
ZINC000101012615_uff_E=511.85,-8.2
ZINC000031807922_uff_E=403.95,-8.1
ZINC000002308577_uff_E=768.80,-8
ZINC000215281161_uff_E=386.79,-8
ZINC000005750376_uff_E=773.97,-7.9
ZINC000006760912_uff_E=421.83,-7.9
ZINC000036556779_uff_E=1950.87,-7.9
ZINC000001402363_uff_E=361.13,-7.8
ZINC000065407987_uff_E=543.72,-7.8
ZINC000072324030_uff_E=441.10,-7.8
ZINC000000193798_uff_E=149.03,-7.7
ZINC000001748317_uff_E=115.83,-7.7
ZINC000004324685_uff_E=376.28,-7.7
ZINC000044610030_uff_E=513.50,-7.7
ZINC000097375660_uff_E=769.95,-7.7
ZINC000170637953_uff_E=375.04,-7.7
ZINC000252493901_uff_E=112.70,-7.7
ZINC000392498310_uff_E=403.00,-7.7
ZINC000000339488_uff_E=104.70,-7.6
ZINC000003407843_uff_E=191.80,-7.6
ZINC000004629796_uff_E=396.96,-7.6
ZINC000005783286_uff_E=329.45,-7.6
ZINC000014988494_uff_E=385.12,-7.6
ZINC000067842984_uff_E=394.10,-7.6
ZINC000215281114_uff_E=382.72,-7.6
ZINC000252493900_uff_E=112.08,-7.6
ZINC000262187137_uff_E=447.15,-7.6
ZINC000001402384_uff_E=374.83,-7.5
ZINC000003905883_uff_E=390.77,-7.5
ZINC000004705420_uff_E=585.32,-7.5
ZINC000012357960_uff_E=530.39,-7.5
ZINC000012956768_uff_E=317.06,-7.5
ZINC000014611337_uff_E=708.10,-7.5
ZINC000100116292_uff_E=392.73,-7.5
ZINC000584895208_uff_E=529.63,-7.5
ZINC000001926623_uff_E=217.12,-7.4
ZINC000004386286_uff_E=391.99,-7.4
ZINC000016283433_uff_E=390.12,-7.4
ZINC000020593837_uff_E=521.91,-7.4
ZINC000036896411_uff_E=201.34,-7.4
ZINC000057218498_uff_E=358.68,-7.4
ZINC000103016242_uff_E=330.76,-7.4
ZINC000134827657_uff_E=343.19,-7.4
ZINC000215566476_uff_E=155.54,-7.4
ZINC000252627812_uff_E=450.45,-7.4
ZINC000253536240_uff_E=149.47,-7.4
ZINC000408518576_uff_E=555.99,-7.4
ZINC000426415395_uff_E=396.29,-7.4
ZINC000000039856_uff_E=351.31,-7.3
ZINC000000039857_uff_E=352.48,-7.3
ZINC000005133422_uff_E=343.08,-7.3
ZINC000006445426_uff_E=365.88,-7.3
ZINC000006769861_uff_E=378.03,-7.3
ZINC000008609359_uff_E=208.91,-7.3
ZINC000008983594_uff_E=548.68,-7.3
ZINC000032627188_uff_E=389.56,-7.3
ZINC000032918143_uff_E=786.14,-7.3
ZINC000037437715_uff_E=262.10,-7.3
ZINC000037437722_uff_E=257.41,-7.3
ZINC000040163924_uff_E=347.22,-7.3
ZINC000066324463_uff_E=367.37,-7.3
ZINC000078210627_uff_E=402.98,-7.3
ZINC000083875262_uff_E=443.59,-7.3
ZINC000088373741_uff_E=269.55,-7.3
ZINC000088373744_uff_E=276.78,-7.3
ZINC000169676389_uff_E=458.66,-7.3
ZINC000238856566_uff_E=401.19,-7.3
ZINC000585092251_uff_E=516.05,-7.3
ZINC000000203988_uff_E=337.31,-7.2
ZINC000000264926_uff_E=335.12,-7.2
ZINC000001424246_uff_E=405.37,-7.2
ZINC000001926621_uff_E=196.26,-7.2
ZINC000002392043_uff_E=147.92,-7.2
ZINC000002424934_uff_E=747.58,-7.2
ZINC000002927960_uff_E=213.55,-7.2
ZINC000003261550_uff_E=148.84,-7.2
ZINC000003798622_uff_E=541.96,-7.2
ZINC000004125109_uff_E=865.33,-7.2
ZINC000004207178_uff_E=366.98,-7.2
ZINC000006445419_uff_E=359.02,-7.2
ZINC000007989005_uff_E=167.57,-7.2
ZINC000012357972_uff_E=427.33,-7.2
ZINC000015221730_uff_E=687.94,-7.2
ZINC000019428411_uff_E=410.70,-7.2
ZINC000020216661_uff_E=287.74,-7.2
ZINC000021983279_uff_E=1420.51,-7.2
ZINC000034462800_uff_E=615.45,-7.2
ZINC000037420956_uff_E=379.27,-7.2
ZINC000037516592_uff_E=1358.63,-7.2
ZINC000039438675_uff_E=105.30,-7.2
ZINC000040541970_uff_E=347.04,-7.2
ZINC000062913628_uff_E=432.35,-7.2
ZINC000065407985_uff_E=565.32,-7.2
ZINC000065434528_uff_E=1775.58,-7.2
ZINC000065525969_uff_E=570.88,-7.2
ZINC000065614335_uff_E=326.84,-7.2
ZINC000070274092_uff_E=375.88,-7.2
ZINC000071246550_uff_E=198.34,-7.2
ZINC000082292986_uff_E=273.96,-7.2
ZINC000685939371_uff_E=750.57,-7.2
ZINC000001569716_uff_E=129.14,-7.1
ZINC000002468762_uff_E=326.37,-7.1
ZINC000002528077_uff_E=193.33,-7.1
ZINC000003852619_uff_E=398.80,-7.1
ZINC000004029862_uff_E=891.25,-7.1
ZINC000004245092_uff_E=335.91,-7.1
ZINC000004249556_uff_E=362.13,-7.1
ZINC000004671366_uff_E=518.04,-7.1
ZINC000008602318_uff_E=384.86,-7.1
ZINC000012896294_uff_E=149.56,-7.1
ZINC000012944238_uff_E=178.51,-7.1
ZINC000013465079_uff_E=739.29,-7.1
ZINC000013470885_uff_E=336.76,-7.1
ZINC000014001469_uff_E=308.66,-7.1
ZINC000017083504_uff_E=182.89,-7.1
ZINC000019229980_uff_E=596.62,-7.1
ZINC000022205650_uff_E=328.95,-7.1
ZINC000030834184_uff_E=290.23,-7.1
ZINC000062831623_uff_E=444.37,-7.1
ZINC000071770822_uff_E=521.71,-7.1
ZINC000074934285_uff_E=1028.02,-7.1
ZINC000083875211_uff_E=304.91,-7.1
ZINC000083875213_uff_E=307.74,-7.1
ZINC000084614927_uff_E=322.84,-7.1
ZINC000090275528_uff_E=121.13,-7.1
ZINC000096345933_uff_E=206.03,-7.1
ZINC000100202383_uff_E=384.86,-7.1
ZINC000100431401_uff_E=297.51,-7.1
ZINC000237912763_uff_E=279.00,-7.1
ZINC000524728979_uff_E=420.68,-7.1
ZINC000952981663_uff_E=437.94,-7.1
ZINC000000407746_uff_E=238.74,-7
ZINC000001511379_uff_E=295.54,-7
ZINC000001762468_uff_E=196.94,-7
ZINC000002165066_uff_E=526.99,-7
ZINC000002491360_uff_E=452.24,-7
ZINC000002507083_uff_E=899.53,-7
ZINC000002765676_uff_E=442.44,-7
ZINC000002961684_uff_E=162.25,-7
ZINC000004029390_uff_E=867.42,-7
ZINC000004029864_uff_E=349.89,-7
ZINC000008575829_uff_E=813.95,-7
ZINC000008754385_uff_E=154.41,-7
ZINC000008754431_uff_E=154.93,-7
ZINC000019473778_uff_E=198.01,-7
ZINC000022165605_uff_E=224.87,-7
ZINC000025578658_uff_E=129.07,-7
ZINC000032625209_uff_E=160.66,-7
ZINC000032627937_uff_E=735.28,-7
ZINC000035408852_uff_E=100.55,-7
ZINC000036075290_uff_E=362.81,-7
ZINC000036610923_uff_E=380.51,-7
ZINC000036612474_uff_E=113.42,-7
ZINC000037437134_uff_E=185.82,-7
ZINC000039438676_uff_E=104.57,-7
ZINC000040267270_uff_E=922.23,-7
ZINC000040543942_uff_E=368.82,-7
ZINC000043700821_uff_E=357.52,-7
ZINC000065422631_uff_E=355.46,-7
ZINC000072233386_uff_E=330.82,-7
ZINC000082292988_uff_E=383.56,-7
ZINC000088375335_uff_E=302.56,-7
ZINC000090275527_uff_E=148.08,-7
ZINC000095485801_uff_E=326.10,-7
ZINC000096118974_uff_E=553.77,-7
ZINC000100392864_uff_E=332.68,-7
ZINC000101168853_uff_E=348.11,-7
ZINC000125979414_uff_E=121.97,-7
ZINC000143939187_uff_E=145.87,-7
ZINC000169726327_uff_E=143.32,-7
ZINC000236128931_uff_E=504.51,-7
ZINC000236129504_uff_E=511.42,-7
