Ligand,Binding Affinity,rmsd/ub, rmsd/lb
miRNA-612_3D_Structure_model1_ZINC000002308577_uff_E=768.80,-9.2,0,0
miRNA-612_3D_Structure_model1_ZINC000002308577_uff_E=768.80,-9.2,6.28,0.022
miRNA-612_3D_Structure_model1_ZINC000002308577_uff_E=768.80,-9,6.421,2.661
miRNA-612_3D_Structure_model1_ZINC000002308577_uff_E=768.80,-9,3.589,2.646
miRNA-612_3D_Structure_model1_ZINC000002308577_uff_E=768.80,-8.9,4.31,2.953
miRNA-612_3D_Structure_model1_ZINC000067842984_uff_E=394.10,-8.7,0,0
miRNA-612_3D_Structure_model1_ZINC000002308577_uff_E=768.80,-8.5,6.732,3.144
miRNA-612_3D_Structure_model1_ZINC000005750376_uff_E=773.97,-8.5,0,0
miRNA-612_3D_Structure_model1_ZINC000000193798_uff_E=149.03,-8.4,0,0
miRNA-612_3D_Structure_model1_ZINC000031807922_uff_E=403.95,-8.4,0,0
miRNA-612_3D_Structure_model1_ZINC000238856566_uff_E=401.19,-8.4,0,0
miRNA-612_3D_Structure_model1_ZINC000238856566_uff_E=401.19,-8.4,2.269,1.692
miRNA-612_3D_Structure_model1_ZINC000002308577_uff_E=768.80,-8.3,3.097,2.397
miRNA-612_3D_Structure_model1_ZINC000002308577_uff_E=768.80,-8.3,52.605,48.686
miRNA-612_3D_Structure_model1_ZINC000002308577_uff_E=768.80,-8.3,51.34,48.556
miRNA-612_3D_Structure_model1_ZINC000031807922_uff_E=403.95,-8.3,52.974,49.841
miRNA-612_3D_Structure_model1_ZINC000031807922_uff_E=403.95,-8.3,5.68,2.207
miRNA-612_3D_Structure_model1_ZINC000067842984_uff_E=394.10,-8.3,46.592,43.975
miRNA-612_3D_Structure_model1_ZINC000215281161_uff_E=386.79,-8.3,0,0
miRNA-612_3D_Structure_model1_ZINC000001402363_uff_E=361.13,-8.2,0,0
miRNA-612_3D_Structure_model1_ZINC000004206968_uff_E=339.67,-8.2,0,0
miRNA-612_3D_Structure_model1_ZINC000005750376_uff_E=773.97,-8.2,7.112,4.826
miRNA-612_3D_Structure_model1_ZINC000005750376_uff_E=773.97,-8.2,8.075,6.399
miRNA-612_3D_Structure_model1_ZINC000006760910_uff_E=399.36,-8.2,0,0
miRNA-612_3D_Structure_model1_ZINC000006760910_uff_E=399.36,-8.2,12.855,11.296
miRNA-612_3D_Structure_model1_ZINC000036556779_uff_E=1950.87,-8.2,0,0
miRNA-612_3D_Structure_model1_ZINC000238856566_uff_E=401.19,-8.2,1.748,1.368
miRNA-612_3D_Structure_model1_ZINC000001402363_uff_E=361.13,-8.1,17.749,15.625
miRNA-612_3D_Structure_model1_ZINC000003798622_uff_E=541.96,-8.1,0,0
miRNA-612_3D_Structure_model1_ZINC000005750376_uff_E=773.97,-8.1,6.929,5.563
miRNA-612_3D_Structure_model1_ZINC000005750376_uff_E=773.97,-8.1,7.267,4.812
miRNA-612_3D_Structure_model1_ZINC000072324030_uff_E=441.10,-8.1,0,0
miRNA-612_3D_Structure_model1_ZINC000101012615_uff_E=511.85,-8.1,0,0
miRNA-612_3D_Structure_model1_ZINC000002768361_uff_E=364.41,-8,0,0
miRNA-612_3D_Structure_model1_ZINC000002927960_uff_E=213.55,-8,0,0
miRNA-612_3D_Structure_model1_ZINC000005242230_uff_E=609.43,-8,0,0
miRNA-612_3D_Structure_model1_ZINC000101012615_uff_E=511.85,-8,11.729,9.434
miRNA-612_3D_Structure_model1_ZINC000215281114_uff_E=382.72,-8,0,0
miRNA-612_3D_Structure_model1_ZINC000238856566_uff_E=401.19,-8,39.11,37.484
miRNA-612_3D_Structure_model1_ZINC000238856566_uff_E=401.19,-8,38.863,37.151
miRNA-612_3D_Structure_model1_ZINC000392498310_uff_E=403.00,-8,0,0
miRNA-612_3D_Structure_model1_ZINC000000039857_uff_E=352.48,-7.9,0,0
